gpa_id,gpa_name,website,start_year,recent_year,subject_area,subject_collapsed,creator_name,creator_type,creator_clean,creator_collapsed,country,country_collapsed,ISO3,active
1,Active Ageing Index ,http://www.euro.centre.org/data/1363275126_21733.pdf,2012,2014,Social,Social,European Centere for Social Policy and Research,5,IGO,IGO,Austria,Europe,AUT,TRUE
2,ADL Global 100 anti-semitism Index,http://global100.adl.org/,2014,2015,Social,Social,ADL Global 100,3,NGO,NGO,United States,United States,USA,TRUE
3,AfDB Country Policy and Institutional Assessment,https://cpia.afdb.org,2004,2015,"Governance, Development","Governance, Development",African Development Bank Group,3,NGO,NGO,NA,NA,NA,TRUE
4,Africa Integrity Indicators,http://www.globalintegrity.org/research/reports/africa-integrity-indicators/,2013,2016,Governance,Governance,Global Integrity,3,NGO,NGO,United States,United States,USA,TRUE
5,African Governance Report,http://www.uneca.org/sites/default/files/publications/agr3-executive-summary.pdf,2005,2016,Governance,Governance,UNECA,5,IGO,IGO,Ethiopia,Global South,ETH,TRUE
6,Aid Transparency Index,http://www.publishwhatyoufund.org/index/,2011,2016,Aid,Development,Publish What You Fund,3,NGO,NGO,United Kingdom,United Kingdom,GBR,TRUE
7,AIDS Program Effort Index (API),http://www.policyproject.com/pubs/monographs/API2003.pdf,2000,2003,Health,Development,"UNAIDS, USAID, WHO and the POLICY Project",5,IGO,IGO,Switzerland,Europe,CHE,FALSE
8,Alternative Country-Risk Index,http://www.choike.org/nuevo_eng/informes/2192.html,2004,2009,"Social, Governance, Economic","Social, Governance, Economic","Latin American Centre for Social Ecology (CLAES) and D3E (Development, Economy, Ecology, Equity – Latin America)",3,NGO,NGO,Uruguay,Global South,URY,FALSE
9,Annual Global Retirement Index,https://internationalliving.com/annual-global-retirement-index/,1980,2016,Social,Social,International Living,3,NGO,NGO,United States,United States,USA,TRUE
10,Arab Democracy Index,http://www.arab-reform.net/en/node/285,2008,2014,Governance,Governance,Arab Reform Initiative,3,NGO,NGO,NA,NA,NA,TRUE
11,Assessing the Achievement of the Millennium Development Goals,http://www.undp.org/content/undp/en/home/librarypage/mdg/mdg-reports.html,2002,2015,"Social, Development","Social, Development",World Bank/UNDP,5,IGO,IGO,USA,United States,USA,TRUE
12,Basel Anti-Money Laundering Index,https://index.baselgovernance.org,2012,2016,"Economic, Military","Economic, Security",Basel Institute on Governance,3,NGO,NGO,Switzerland,Europe,CHE,TRUE
13,Basic Capabilities Index,http://www.socialwatch.org/taxonomy/term/523,2007,2011,"Social, Development","Social, Development",Social Watch,3,NGO,NGO,Uruguay,Global South,URY,FALSE
